DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,Num_Households_x,median_income_x,Num_Households_y,median_income_y
2014-06-01,164.065,2014,6,34.244749999999996,203042200.0,5.7,237.231,6.1,68.15089,214.5,0.1,123229.0,64900.0,123229.0,64900.0
2014-07-01,164.585,2014,7,34.332499999999996,203037900.0,6.2,237.498,6.2,68.15983,214.8,0.09,123229.0,64900.0,123229.0,64900.0
2014-08-01,165.21099999999998,2014,8,34.42025,203158700.0,5.4,237.46,6.1,68.21954000000001,215.5,0.09,123229.0,64900.0,123229.0,64900.0
2014-09-01,165.90099999999998,2014,9,34.508,203208200.0,5.4,237.477,5.9,68.27580999999999,215.7,0.09,123229.0,64900.0,123229.0,64900.0
2014-10-01,166.637,2014,10,34.59575,203258500.0,5.3,237.43,5.7,68.57591,215.9,0.09,123229.0,64900.0,123229.0,64900.0
2014-11-01,167.331,2014,11,34.6835,203376000.0,5.7,236.983,5.8,68.52122,215.8,0.09,123229.0,64900.0,123229.0,64900.0
2014-12-01,168.045,2014,12,34.77125,203422100.0,5.1,236.252,5.6,68.48817,215.5,0.12,123229.0,64900.0,123229.0,64900.0
2015-01-01,168.625,2015,1,34.859,203861600.0,4.8,234.747,5.7,68.54179,215.8,0.11,124587.0,68410.0,124587.0,68410.0
2015-02-01,169.122,2015,2,35.08325,203946100.0,4.5,235.342,5.5,68.53787,215.3,0.11,124587.0,68410.0,124587.0,68410.0
2015-03-01,169.793,2015,3,35.307500000000005,203977400.0,5.1,235.976,5.4,68.42081999999999,215.0,0.11,124587.0,68410.0,124587.0,68410.0
2015-04-01,170.292,2015,4,35.53175,203993100.0,4.9,236.222,5.4,68.67575,214.5,0.12,124587.0,68410.0,124587.0,68410.0
2015-05-01,170.875,2015,5,35.756,204206000.0,5.0,237.001,5.6,68.79496,213.7,0.12,124587.0,68410.0,124587.0,68410.0
2015-06-01,171.476,2015,6,35.98025,204414700.0,5.4,237.657,5.3,68.68949,213.7,0.13,124587.0,68410.0,124587.0,68410.0
2015-07-01,172.146,2015,7,36.204499999999996,204513900.0,5.2,238.034,5.2,68.63828000000001,213.7,0.13,124587.0,68410.0,124587.0,68410.0
2015-08-01,172.93,2015,8,36.42875,204554200.0,5.0,238.033,5.1,68.75819,213.3,0.14,124587.0,68410.0,124587.0,68410.0
2015-09-01,173.82299999999998,2015,9,36.653,204601900.0,5.9,237.498,5.0,68.66492,212.5,0.14,124587.0,68410.0,124587.0,68410.0
2015-10-01,174.787,2015,10,36.87725,204679200.0,5.6,237.733,5.0,68.74213,212.4,0.12,124587.0,68410.0,124587.0,68410.0
2015-11-01,175.733,2015,11,37.1015,204727900.0,5.5,238.017,5.1,68.8962,211.7,0.12,124587.0,68410.0,124587.0,68410.0
2015-12-01,176.53599999999997,2015,12,37.32575,204758500.0,5.1,237.761,5.0,69.0938,210.9,0.24,124587.0,68410.0,124587.0,68410.0
2016-01-01,177.261,2016,1,37.55,205073500.0,5.6,237.652,4.8,69.18366,211.4,0.34,125819.0,70840.0,125819.0,70840.0
2016-02-01,177.639,2016,2,37.40175,205104200.0,5.5,237.336,4.9,69.25465,211.3,0.38,125819.0,70840.0,125819.0,70840.0
2016-03-01,178.15599999999998,2016,3,37.253499999999995,205205800.0,5.5,238.08,5.0,69.2868,211.6,0.36,125819.0,70840.0,125819.0,70840.0
2016-04-01,178.757,2016,4,37.10525,205257800.0,5.0,238.992,5.1,69.14804000000001,212.7,0.37,125819.0,70840.0,125819.0,70840.0
2016-05-01,179.419,2016,5,36.957,205414200.0,5.1,239.557,4.8,69.28429,213.7,0.37,125819.0,70840.0,125819.0,70840.0
2016-06-01,180.088,2016,6,36.808749999999996,205551200.0,5.3,240.222,4.9,69.19458,214.6,0.38,125819.0,70840.0,125819.0,70840.0
2016-07-01,180.847,2016,7,36.6605,205694000.0,4.5,240.101,4.8,69.28483,215.3,0.39,125819.0,70840.0,125819.0,70840.0
2016-08-01,181.836,2016,8,36.51225,205675500.0,5.0,240.545,4.9,69.37602,216.0,0.4,125819.0,70840.0,125819.0,70840.0
2016-09-01,182.81,2016,9,36.364,205731800.0,5.2,241.176,5.0,69.42687,215.3,0.4,125819.0,70840.0,125819.0,70840.0
2016-10-01,183.738,2016,10,36.21575,205844400.0,5.2,241.741,4.9,69.43211,214.8,0.4,125819.0,70840.0,125819.0,70840.0
2016-11-01,184.748,2016,11,36.0675,205828800.0,5.2,242.026,4.7,69.55502,214.5,0.41,125819.0,70840.0,125819.0,70840.0
2016-12-01,185.71,2016,12,35.91925,205939200.0,5.4,242.637,4.7,69.57292,215.5,0.54,125819.0,70840.0,125819.0,70840.0
